Designator,Mid X,Mid Y,Rotation,Layer
BZ1,129.75,-158.75,180.0,bottom
C1,148.75,-151.0,270.0,top
C10,127.0,-170.0,135.0,top
C11,126.0,-167.75,270.0,bottom
C12,139.0,-170.0,225.0,top
C13,127.0,-158.0,225.0,top
C14,139.0,-158.0,315.0,top
C15,128.75,-166.5,0.0,bottom
C16,128.75,-170.0,180.0,bottom
C17,137.0,-165.75,90.0,bottom
C18,128.75,-168.25,0.0,bottom
C19,119.0,-149.75,90.0,bottom
C2,117.25,-150.0,0.0,top
C3,112.5,-150.0,0.0,top
C4,122.5,-149.0,0.0,bottom
C5,122.5,-139.5,0.0,bottom
C6,112.18238,-131.5,0.0,bottom
C7,117.0,-128.68238,90.0,top
C8,112.0,-145.25,0.0,bottom
C9,116.0,-145.25,180.0,bottom
D1,124.75,-146.0,90.0,top
D10,123.0,-128.0,270.0,top
D11,121.25,-128.0,270.0,top
D12,125.0,-128.0,270.0,top
D13,126.75,-128.0,270.0,top
D14,108.5,-129.75,270.0,top
D15,106.75,-129.75,270.0,top
D2,126.75,-149.0,0.0,bottom
D3,126.75,-139.5,0.0,bottom
D4,146.25,-157.75,180.0,top
D5,146.25,-156.0,180.0,top
D6,111.75,-147.75,180.0,bottom
D7,146.2125,-154.25,180.0,top
D8,116.0,-148.75,270.0,bottom
D9,146.25,-152.5,180.0,top
F1,131.0,-139.25,270.0,top
F2,138.0,-139.25,270.0,top
J1,143.7,-131.0,90.0,top
J10,119.75,-167.975,0.0,top
J11,119.75,-161.225,0.0,top
J12,119.75,-154.475,0.0,top
J13,143.975,-178.75,90.0,top
J14,137.225,-178.75,90.0,top
J15,130.475,-178.75,90.0,top
J16,123.725,-178.75,90.0,top
J17,116.975,-178.75,90.0,top
J18,110.225,-181.25,90.0,top
J19,110.225,-172.75,90.0,top
J2,143.7,-138.0,90.0,top
J20,110.25,-164.25,90.0,top
J21,110.225,-155.75,90.0,top
J3,143.7,-145.0,90.0,top
J4,144.0,-165.25,90.0,top
J5,151.25,-145.525,180.0,top
J6,151.25,-131.525,180.0,top
J7,151.25,-138.525,180.0,top
J8,153.3,-170.0,270.0,top
J9,127.115,-153.0,90.0,top
MD1,116.0,-141.5,180.0,top
Q1,122.75,-144.25,0.0,bottom
Q2,122.75,-134.75,0.0,bottom
Q3,134.5,-148.5,90.0,bottom
Q4,113.25,-182.25,90.0,bottom
Q5,113.25,-173.75,90.0,bottom
Q6,113.25,-165.25,90.0,bottom
Q7,113.25,-156.75,90.0,bottom
R1,131.75,-155.25,90.0,top
R10,108.51,-133.0,270.0,top
R11,143.0,-157.75,180.0,top
R12,143.0,-156.0,180.0,top
R13,143.0,-154.25,180.0,top
R14,123.0,-131.25,270.0,top
R15,121.25,-131.25,270.0,top
R16,125.0,-131.25,270.0,top
R17,126.75,-131.25,270.0,top
R18,122.5,-150.0,180.0,top
R19,125.75,-150.0,180.0,top
R2,148.75,-155.0,90.0,top
R20,149.5,-150.0,90.0,bottom
R21,151.25,-150.0,270.0,bottom
R22,143.0,-152.5,180.0,top
R23,134.5,-151.5,0.0,bottom
R24,134.5,-143.75,0.0,bottom
R25,134.5,-145.5,0.0,bottom
R26,113.25,-177.75,0.0,bottom
R27,113.25,-179.5,0.0,bottom
R28,113.25,-169.25,0.0,bottom
R29,113.25,-171.0,0.0,bottom
R3,139.75,-155.5,270.0,top
R30,113.25,-160.75,0.0,bottom
R31,113.25,-162.5,0.0,bottom
R32,137.75,-170.0,0.0,bottom
R33,137.75,-168.25,0.0,bottom
R34,113.25,-152.25,0.0,bottom
R35,113.25,-154.0,0.0,bottom
R36,106.75,-133.0,270.0,top
R37,107.5,-144.5,270.0,top
R4,125.25,-142.5,180.0,top
R5,148.75,-159.0,90.0,top
R6,130.75,-141.5,0.0,bottom
R7,130.75,-132.0,0.0,bottom
R8,107.5,-138.0,90.0,top
R9,107.5,-141.25,90.0,top
SW1,152.5,-151.0,0.0,top
SW2,152.5,-155.0,180.0,top
SW3,152.5,-159.0,180.0,top
SW4,112.25,-123.25,180.0,top
SW5,121.75,-123.25,180.0,top
U1,133.0,-164.0,180.0,top
U2,114.0,-139.5,270.0,bottom
U3,133.25,-168.25,90.0,bottom
Y1,134.5,-155.25,180.0,top
