Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_Murata_PKLCS1212E,1,Buzzer,
"C1, C12, C13, C14, C20, C21, C22, C23, C24, C26, C5",0603,11,0.1uf,
"C10, C28, C29",CP_Radial_D6.3mm_P2.50mm,3,100uf,
"C11, C15, C17, C18, C19, C2, C27, C3, C4, C6, C7, C8, C9",0805,13,10u,
C16,0805,1,4.7u,
C25,0603,1,2200pf,
"D1, D2, D3, D7, D8",D_SOD-323_HandSoldering,5,D_Schottky,
"D10, D11, D12, D13, D15, D16, D4, D5, D6, D9",0603,10,LED,
D14,TSOT-23,1,CH213K,
"F1, F2",Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,2,Fuse,
"J1, J2, J3",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,3,Conn_01x02,
"J10, J11",JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,2,Conn_01x03,
"J12, J13, J4",JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal,3,Conn_01x04,
"J14, J15",JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,2,Conn_01x04,
"J5, J6, J7",Molex_SPOX_5268-02A_1x02_P2.50mm_Horizontal,3,Conn_01x02,
J8,JST_PH_S7B-PH-K_1x07_P2.00mm_Horizontal,1,Conn_01x07,
J9,raspberreyPi,1,Raspberry_Pi_2_3,
MD1,MURATA_OKL-T-6-W12N-C_0,1,OKL-T_6-W12N-C,OKL-T/6-W12N-C
"Q1, Q2",TO-252-2,2,Q_PMOS_GDS,
"Q10, Q3, Q5, Q6, Q7, Q8, Q9",SOT-23,7,BSS138,
Q4,SOT-23,1,IRLML6402,
"R1, R13, R15, R17, R19, R2, R25, R26, R27, R30, R32, R34, R36, R37, R38, R4, R42, R5, R6, R7",0603,20,10k,
"R10, R12, R21, R29, R31, R33, R35, R41",0603,8,10,
"R11, R14, R16, R18, R20, R22, R23, R24, R39, R40, R8",0603,11,1k,
R28,1206,1,5m,
R3,1206,1,10m,
R9,0603,1,330,
"SW1, SW2, SW3",SW_SPST_PTS810,3,SW_Push,
"SW4, SW5",IS-2235,2,SW_Slide_DPDT,
"TP1, TP2, TP3, TP4",TestPoint_THTPad_D4.0mm_Drill2.0mm,4,TestPoint,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
U2,SOT-223-3_TabPin2,1,LM1117MP-3.3,
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.15x2.15mm,1,MPU-6050,
"U4, U5",SOT-23-5,2,INA180A2,
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,CSTNE16M0V530000R0,
