Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C1",0603,2,0.1u,
"D1_2, D1, D10_2, D10, D11_2, D11, D12_2, D12, D13_2, D13, D14_2, D14, D15_2, D15, D16_2, D16, D17_2, D17, D18_2, D18, D19_2, D19, D2_2, D2, D3_2, D3, D4_2, D4, D5_2, D5, D6_2, D6, D7_2, D7, D8_2, D8, D9_2, D9",0603,38,LED,
"IC1_2, IC1",SOIC-8_3.9x4.9mm_P1.27mm,2,AS5600-ASOT,
"R1_2, R1, R10_2, R10, R11_2, R11, R12_2, R12, R13_2, R13, R14_2, R14, R15_2, R15, R16_2, R16, R17_2, R17, R18_2, R18, R19_2, R19, R2_2, R2, R3_2, R3, R4_2, R4, R5_2, R5, R6_2, R6, R7_2, R7, R8_2, R8, R9_2, R9",0603,38,1k,
"TP1_2, TP1",TestPoint_Pad_1.5x1.5mm,2,LED_POWER,
"TP2_2, TP2",TestPoint_Pad_1.5x1.5mm,2,LED_MAIN,
"TP3_2, TP3",TestPoint_Pad_1.5x1.5mm,2,LED_SUB,
"TP4_2, TP4",TestPoint_Pad_2.0x2.0mm,2,3V3,
"TP5_2, TP5",TestPoint_Pad_2.0x2.0mm,2,OUT,
"TP6_2, TP6",TestPoint_Pad_2.0x2.0mm,2,GND,
