Designator,Mid X,Mid Y,Rotation,Layer
C1_2,88.5,-36.25,0.0,bottom
C1,38.5,-36.25,0.0,bottom
D1_2,30.0,-52.0,90.0,top
D1,30.0,-26.5,90.0,top
D10_2,59.25,-52.0,90.0,top
D10,59.25,-26.5,90.0,top
D11_2,62.5,-52.0,90.0,top
D11,62.5,-26.5,90.0,top
D12_2,69.0,-52.0,90.0,top
D12,69.0,-26.5,90.0,top
D13_2,75.5,-52.0,90.0,top
D13,75.5,-26.5,90.0,top
D14_2,82.0,-52.0,90.0,top
D14,82.0,-26.5,90.0,top
D15_2,88.5,-52.0,90.0,top
D15,88.5,-26.5,90.0,top
D16_2,67.21,-52.0,270.0,top
D16,67.21,-26.5,270.0,top
D17_2,73.71,-52.0,270.0,top
D17,73.71,-26.5,270.0,top
D18_2,80.21,-52.0,270.0,top
D18,80.21,-26.5,270.0,top
D19_2,86.79,-52.0,270.0,top
D19,86.79,-26.5,270.0,top
D2_2,33.25,-52.0,90.0,top
D2,33.25,-26.5,90.0,top
D3_2,36.5,-52.0,90.0,top
D3,36.5,-26.5,90.0,top
D4_2,39.75,-52.0,90.0,top
D4,39.75,-26.5,90.0,top
D5_2,43.0,-52.0,90.0,top
D5,43.0,-26.5,90.0,top
D6_2,46.25,-52.0,90.0,top
D6,46.25,-26.5,90.0,top
D7_2,49.5,-52.0,90.0,top
D7,49.5,-26.5,90.0,top
D8_2,52.75,-52.0,90.0,top
D8,52.75,-26.5,90.0,top
D9_2,56.0,-52.0,90.0,top
D9,56.0,-26.5,90.0,top
IC1_2,85.0,-35.5,90.0,top
IC1,35.0,-35.5,90.0,top
R1_2,31.5,-52.0,90.0,top
R1,31.5,-26.5,90.0,top
R10_2,60.75,-52.0,90.0,top
R10,60.75,-26.5,90.0,top
R11_2,64.0,-52.0,90.0,top
R11,64.0,-26.5,90.0,top
R12_2,70.5,-52.0,90.0,top
R12,70.5,-26.5,90.0,top
R13_2,77.0,-52.0,90.0,top
R13,77.0,-26.5,90.0,top
R14_2,83.5,-52.0,90.0,top
R14,83.5,-26.5,90.0,top
R15_2,90.0,-52.0,90.0,top
R15,90.0,-26.5,90.0,top
R16_2,65.71,-52.0,270.0,top
R16,65.71,-26.5,270.0,top
R17_2,72.21,-52.0,270.0,top
R17,72.21,-26.5,270.0,top
R18_2,78.71,-52.0,270.0,top
R18,78.71,-26.5,270.0,top
R19_2,85.29,-52.0,270.0,top
R19,85.29,-26.5,270.0,top
R2_2,34.75,-52.0,90.0,top
R2,34.75,-26.5,90.0,top
R3_2,38.0,-52.0,90.0,top
R3,38.0,-26.5,90.0,top
R4_2,41.25,-52.0,90.0,top
R4,41.25,-26.5,90.0,top
R5_2,44.5,-52.0,90.0,top
R5,44.5,-26.5,90.0,top
R6_2,47.75,-52.0,90.0,top
R6,47.75,-26.5,90.0,top
R7_2,51.0,-52.0,90.0,top
R7,51.0,-26.5,90.0,top
R8_2,54.25,-52.0,90.0,top
R8,54.25,-26.5,90.0,top
R9_2,57.5,-52.0,90.0,top
R9,57.5,-26.5,90.0,top
